#gene	refseq	ensembl
OR4F5	NM_001005484.2	ENST00000641515.2
ASCL1	NM_004316.4	ENST00000266744.4
C12orf42	NM_198521.5	ENST00000548883.6
STAB2	NM_017564.10	ENST00000388887.7
NT5DC3	NM_001031701.3	ENST00000392876.8
HSP90B1	NM_003299.3	ENST00000299767.10
UQCC6	NM_001135570.3	ENST00000378090.9
TDG	NM_003211.6	ENST00000392872.8
GLT8D2	NM_001384711.1	ENST00000360814.9
HCFC2	NM_013320.3	ENST00000229330.9
NFYB	NM_006166.4	ENST00000240055.8
TXNRD1	NM_001093771.3	ENST00000525566.6
EID3	NM_001008394.3	ENST00000527879.2
CHST11	NM_018413.6	ENST00000303694.6
SLC41A2	NM_001352171.3	ENST00000258538.8
NOPCHAP1	NM_152318.3	ENST00000552951.7
ALDH1L2	NM_001034173.4	ENST00000258494.14
WASHC4	NM_015275.3	ENST00000332180.10
APPL2	NM_018171.5	ENST00000258530.8
C12orf75	NM_001145199.2	ENST00000443585.6
NUAK1	NM_014840.3	ENST00000261402.7
CKAP4	NM_006825.4	ENST00000378026.5
TCP11L2	NM_152772.3	ENST00000299045.8
POLR3B	NM_018082.6	ENST00000228347.9
RFX4	NM_213594.3	ENST00000392842.6
RIC8B	NM_001330145.2	ENST00000392837.9
TMEM263	NM_152261.4	ENST00000280756.9
MTERF2	NM_001033050.3	ENST00000240050.9
CRY1	NM_004075.5	ENST00000008527.10
ABTB3	NM_001018072.2	ENST00000280758.10
PWP1	NM_007062.3	ENST00000412830.8
PRDM4	NM_012406.4	ENST00000228437.10
ASCL4	NM_203436.3	ENST00000342331.5
WSCD2	NM_014653.4	ENST00000547525.6
CMKLR1	NM_001142343.2	ENST00000550402.6
FICD	NM_007076.3	ENST00000552695.6
SART3	NM_014706.4	ENST00000546815.6
ISCU	NM_213595.4	ENST00000311893.14
TMEM119	NM_181724.3	ENST00000392806.4
SELPLG	NM_003006.4	ENST00000550948.2
CORO1C	NM_014325.4	ENST00000261401.8
SSH1	NM_018984.4	ENST00000326495.10
DAO	NM_001917.5	ENST00000228476.8
SVOP	NM_018711.5	ENST00000610966.5
USP30	NM_032663.5	ENST00000257548.10
ALKBH2	NM_001145374.2	ENST00000429722.3
UNG	NM_080911.3	ENST00000242576.7
ACACB	NM_001093.4	ENST00000338432.12
FOXN4	NM_213596.3	ENST00000299162.10
MYO1H	NM_001101421.4	ENST00000310903.10
KCTD10	NM_031954.5	ENST00000228495.11
UBE3B	NM_130466.4	ENST00000342494.8
MMAB	NM_052845.4	ENST00000545712.7
MVK	NM_000431.4	ENST00000228510.8
FAM222A	NM_032829.3	ENST00000538780.2
TRPV4	NM_021625.5	ENST00000261740.7
GLTP	NM_016433.4	ENST00000318348.9
TCHP	NM_001143852.2	ENST00000405876.9
GIT2	NM_057169.5	ENST00000355312.8
ANKRD13A	NM_033121.2	ENST00000261739.9
C12orf76	NM_001389625.1	ENST00000615315.2
IFT81	NM_014055.4	ENST00000242591.10
ATP2A2	NM_170665.4	ENST00000539276.7
ANAPC7	NM_016238.3	ENST00000455511.9
ARPC3	NM_001278556.2	ENST00000228825.12
GPN3	NM_016301.4	ENST00000228827.8
FAM216A	NM_013300.3	ENST00000377673.10
VPS29	NM_016226.5	ENST00000549578.6
RAD9B	NM_001286535.2	ENST00000409300.6
PPTC7	NM_139283.2	ENST00000354300.5
TCTN1	NM_001082538.3	ENST00000397659.9
HVCN1	NM_032369.4	ENST00000242607.13
PPP1CC	NM_002710.4	ENST00000335007.10
CCDC63	NM_152591.3	ENST00000308208.10
MYL2	NM_000432.4	ENST00000228841.15
CUX2	NM_015267.4	ENST00000261726.11
PHETA1	NM_144671.6	ENST00000683047.1
SH2B3	NM_005475.3	ENST00000341259.7
ATXN2	NM_001372574.1	ENST00000673436.1
BRAP	NM_006768.5	ENST00000419234.9
ACAD10	NM_025247.6	ENST00000313698.9
ALDH2	NM_000690.4	ENST00000261733.7
MAPKAPK5	NM_003668.4	ENST00000550735.7
TMEM116	NM_001193531.2	ENST00000552374.7
ERP29	NM_006817.4	ENST00000261735.4
NAA25	NM_024953.4	ENST00000261745.9
TRAFD1	NM_006700.3	ENST00000412615.7
HECTD4	NM_001388303.1	ENST00000682272.1
RPL6	NM_000970.6	ENST00000202773.14
PTPN11	NM_002834.5	ENST00000351677.7
RPH3A	NM_001143854.2	ENST00000389385.9
OAS1	NM_016816.4	ENST00000202917.10
OAS3	NM_006187.4	ENST00000228928.12
OAS2	NM_002535.3	ENST00000392583.7
DTX1	NM_004416.3	ENST00000548759.2
RASAL1	NM_001301202.2	ENST00000548055.2
CFAP73	NM_001144872.3	ENST00000335621.11
DDX54	NM_024072.4	ENST00000306014.10
RITA1	NM_032848.3	ENST00000548278.2
IQCD	NM_001330452.2	ENST00000416617.3
TPCN1	NM_017901.6	ENST00000335509.11
SLC8B1	NM_001358345.2	ENST00000680972.1
PLBD2	NM_173542.4	ENST00000280800.5
SDS	NM_006843.3	ENST00000257549.9
SDSL	NM_001304993.2	ENST00000403593.9
LHX5	NM_022363.3	ENST00000261731.4
RBM19	NM_016196.4	ENST00000261741.10
TBX5	NM_181486.4	ENST00000405440.7
TBX3	NM_005996.4	ENST00000349155.7
MED13L	NM_015335.5	ENST00000281928.9
MAP1LC3B2	NM_001085481.3	ENST00000556529.4
SPRING1	NM_024738.4	ENST00000261318.5
RNFT2	NM_001382266.1	ENST00000257575.9
HRK	NM_003806.4	ENST00000257572.5
FBXW8	NM_153348.3	ENST00000652555.1
TESC	NM_017899.4	ENST00000335209.12
FBXO21	NM_015002.3	ENST00000622495.5
NOS1	NM_000620.5	ENST00000317775.11
KSR2	NM_173598.6	ENST00000339824.7
RFC5	NM_007370.7	ENST00000454402.7
WSB2	NM_018639.5	ENST00000315436.8
VSIG10	NM_019086.6	ENST00000359236.10
PEBP1	NM_002567.4	ENST00000261313.3
TAOK3	NM_016281.4	ENST00000392533.8
SUDS3	NM_022491.3	ENST00000543473.2
SRRM4	NM_194286.4	ENST00000267260.5
HSPB8	NM_014365.3	ENST00000281938.7
CCDC60	NM_178499.5	ENST00000327554.3
TMEM233	NM_001136534.3	ENST00000426426.3
PRKAB1	NM_006253.5	ENST00000229328.10
CIT	NM_001206999.2	ENST00000392521.7
BICDL1	NM_001367886.1	ENST00000548673.6
RAB35	NM_006861.7	ENST00000229340.10
GCN1	NM_006836.2	ENST00000300648.7
RPLP0	NM_001002.4	ENST00000392514.9
PXN	NM_001385981.1	ENST00000637617.2
SIRT4	NM_012240.3	ENST00000202967.4
PLA2G1B	NM_000928.3	ENST00000308366.9
MSI1	NM_002442.4	ENST00000257552.7
COX6A1	NM_004373.4	ENST00000229379.3
TRIAP1	NM_016399.3	ENST00000546954.2
GATC	NM_176818.3	ENST00000551765.6
SRSF9	NM_003769.3	ENST00000229390.8
DYNLL1	NM_003746.3	ENST00000242577.11
COQ5	NM_032314.4	ENST00000288532.11
RNF10	NM_014868.5	ENST00000325954.9
LOC128071547	NM_001414895.1	ENST00000675818.1
POP5	NM_015918.4	ENST00000357500.5
CABP1	NM_001033677.2	ENST00000316803.8
MLEC	NM_014730.4	ENST00000228506.8
UNC119B	NM_001080533.3	ENST00000344651.5
ACADS	NM_000017.4	ENST00000242592.9
SPPL3	NM_139015.5	ENST00000353487.7
HNF1A	NM_000545.8	ENST00000257555.11
C12orf43	NM_022895.3	ENST00000288757.7
OASL	NM_003733.4	ENST00000257570.10
P2RX7	NM_002562.6	ENST00000328963.10
P2RX4	NM_002560.3	ENST00000337233.9
CAMKK2	NM_001270485.2	ENST00000404169.8
ANAPC5	NM_016237.5	ENST00000261819.8
RNF34	NM_025126.4	ENST00000361234.10
KDM2B	NM_032590.5	ENST00000377071.9
MORN3	NM_173855.5	ENST00000355329.7
TMEM120B	NM_001080825.2	ENST00000449592.7
RHOF	NM_019034.3	ENST00000267205.7
SETD1B	NM_001353345.2	ENST00000604567.6
HPD	NM_002150.3	ENST00000289004.8
PSMD9	NM_002813.7	ENST00000541212.6
CFAP251	NM_144668.6	ENST00000288912.9
BCL7A	NM_001024808.3	ENST00000261822.5
MLXIP	NM_014938.6	ENST00000319080.12
LRRC43	NM_001098519.2	ENST00000339777.5
IL31	NM_001014336.2	ENST00000377035.2
B3GNT4	NM_030765.4	ENST00000324189.5
DIABLO	NM_001371333.1	ENST00000464942.7
LOC128125816	NM_001414998.1	ENST00000713558.1
VPS33A	NM_022916.6	ENST00000267199.9
CLIP1	NM_001247997.2	ENST00000620786.5
ZCCHC8	NM_017612.5	ENST00000633063.3
RSRC2	NM_023012.6	ENST00000331738.12
KNTC1	NM_014708.6	ENST00000333479.12
HCAR2	NM_177551.4	ENST00000328880.6
HCAR3	NM_006018.3	ENST00000528880.3
HCAR1	NM_032554.4	ENST00000432564.3
DENR	NM_003677.5	ENST00000280557.11
CCDC62	NM_201435.5	ENST00000253079.11
HIP1R	NM_003959.3	ENST00000253083.9
VPS37B	NM_024667.3	ENST00000267202.7
ABCB9	NM_019625.4	ENST00000280560.13
OGFOD2	NM_001304833.2	ENST00000228922.12
ARL6IP4	NM_018694.4	ENST00000315580.10
PITPNM2	NM_020845.3	ENST00000320201.10
MPHOSPH9	NM_022782.4	ENST00000606320.6
MTRFR	NM_152269.5	ENST00000253233.6
CDK2AP1	NM_004642.4	ENST00000261692.7
SBNO1	NM_001167856.3	ENST00000602398.3
KMT5A	NM_020382.7	ENST00000402868.8
RILPL2	NM_145058.3	ENST00000280571.10
SNRNP35	NM_022717.4	ENST00000526639.3
RILPL1	NM_178314.5	ENST00000376874.9
TMED2	NM_006815.4	ENST00000262225.8
DDX55	NM_020936.3	ENST00000238146.9
EIF2B1	NM_001414.4	ENST00000424014.7
GTF2H3	NM_001516.5	ENST00000543341.7
TCTN2	NM_024809.5	ENST00000303372.7
ATP6V0A2	NM_012463.4	ENST00000330342.8
DNAH10	NM_001372106.1	ENST00000673944.1
CCDC92	NM_025140.3	ENST00000238156.8
ZNF664	NM_152437.3	ENST00000337815.9
RFLNA	NM_001365156.1	ENST00000546355.4
NCOR2	NM_006312.6	ENST00000405201.6
SCARB1	NM_005505.5	ENST00000261693.11
UBC	NM_021009.7	ENST00000339647.6
DHX37	NM_032656.4	ENST00000308736.7
BRI3BP	NM_080626.6	ENST00000341446.9
AACS	NM_023928.5	ENST00000316519.11
TMEM132B	NM_001366854.1	ENST00000682704.1
TMEM132C	NM_001136103.3	ENST00000435159.3
SLC15A4	NM_145648.4	ENST00000266771.10
GLT1D1	NM_001366886.1	ENST00000442111.7
TMEM132D	NM_133448.3	ENST00000422113.7
FZD10	NM_007197.4	ENST00000229030.5
PIWIL1	NM_004764.5	ENST00000245255.7
RIMBP2	NM_001393629.1	ENST00000690449.1
STX2	NM_194356.4	ENST00000392373.7
RAN	NM_006325.5	ENST00000543796.6
ADGRD1	NM_198827.5	ENST00000261654.10
SFSWAP	NM_004592.4	ENST00000261674.9
MMP17	NM_016155.7	ENST00000360564.5
ULK1	NM_003565.4	ENST00000321867.6
PUS1	NM_025215.6	ENST00000376649.8
EP400	NM_015409.5	ENST00000389561.7
DDX51	NM_175066.4	ENST00000397333.4
NOC4L	NM_024078.3	ENST00000330579.6
GALNT9	NM_001122636.2	ENST00000328957.13
FBRSL1	NM_001367871.1	ENST00000680143.1
LRCOL1	NM_001195520.2	ENST00000376608.9
P2RX2	NM_170682.4	ENST00000643471.2
POLE	NM_006231.4	ENST00000320574.10
PXMP2	NM_018663.3	ENST00000317479.8
PGAM5	NM_001170543.2	ENST00000498926.7
ANKLE2	NM_015114.3	ENST00000357997.10
GOLGA3	NM_001389683.1	ENST00000450791.8
CHFR	NM_001161346.2	ENST00000450056.7
ZNF605	NM_183238.4	ENST00000360187.9
ZNF26	NM_019591.4	ENST00000328654.10
ZNF84	NM_001289971.2	ENST00000539354.6
ZNF140	NM_003440.4	ENST00000355557.7
ZNF891	NM_001277291.2	ENST00000537226.3
ZNF10	NM_015394.5	ENST00000248211.11
ZNF268	NM_003415.3	ENST00000536435.7
ANHX	NM_001372060.1	ENST00000545940.6
TUBA3C	NM_006001.3	ENST00000400113.8
TPTE2	NM_001395978.1	ENST00000697147.1
MPHOSPH8	NM_017520.4	ENST00000361479.10
PSPC1	NM_001354909.2	ENST00000338910.9
ZMYM5	NM_001142684.2	ENST00000337963.9
ZMYM2	NM_197968.4	ENST00000610343.5
GJA3	NM_021954.4	ENST00000241125.4
GJB2	NM_004004.6	ENST00000382848.5
GJB6	NM_001110219.3	ENST00000647029.1
CRYL1	NM_015974.3	ENST00000298248.12
IFT88	NM_006531.5	ENST00000351808.10
IL17D	NM_001385224.1	ENST00000682841.1
EEF1AKMT1	NM_001318939.2	ENST00000382758.6
XPO4	NM_022459.5	ENST00000255305.11
LATS2	NM_014572.3	ENST00000382592.5
SAP18	NM_005870.5	ENST00000382533.9
SKA3	NM_145061.6	ENST00000314759.6
MRPL57	NM_024026.5	ENST00000309594.5
ZDHHC20	NM_001330059.2	ENST00000400590.8
MICU2	NM_152726.3	ENST00000382374.9
FGF9	NM_002010.3	ENST00000382353.6
SGCG	NM_000231.3	ENST00000218867.4
SACS	NM_014363.6	ENST00000382292.9
TNFRSF19	NM_148957.4	ENST00000248484.9
MIPEP	NM_005932.4	ENST00000382172.4
C1QTNF9B	NM_001007537.3	ENST00000713589.1
SPATA13	NM_001166271.3	ENST00000382108.8
C1QTNF9	NM_178540.5	ENST00000332018.5
PARP4	NM_006437.4	ENST00000381989.4
ATP12A	NM_001676.7	ENST00000381946.5
RNF17	NM_031277.3	ENST00000255324.10
CENPJ	NM_018451.5	ENST00000381884.9
PABPC3	NM_030979.3	ENST00000281589.5
AMER2	NM_152704.4	ENST00000515384.2
MTMR6	NM_004685.5	ENST00000381801.6
NUP58	NM_014089.4	ENST00000381736.8
ATP8A2	NM_016529.6	ENST00000381655.7
SHISA2	NM_001007538.2	ENST00000319420.4
RNF6	NM_005977.4	ENST00000381588.9
CDK8	NM_001260.3	ENST00000381527.8
WASF3	NM_006646.6	ENST00000335327.6
GPR12	NM_005288.4	ENST00000405846.5
USP12	NM_182488.4	ENST00000282344.11
RPL21	NM_000982.4	ENST00000311549.11
RASL11A	NM_206827.2	ENST00000241463.5
GTF3A	NM_002097.3	ENST00000381140.10
MTIF3	NM_152912.5	ENST00000381120.8
LNX2	NM_153371.4	ENST00000316334.5
POLR1D	NM_015972.4	ENST00000302979.5
GSX1	NM_145657.3	ENST00000302945.3
PDX1	NM_000209.4	ENST00000381033.5
CDX2	NM_001265.6	ENST00000381020.8
URAD	NM_001105577.2	ENST00000332715.6
FLT3	NM_004119.3	ENST00000241453.12
PAN3	NM_175854.8	ENST00000380958.8
FLT1	NM_002019.4	ENST00000282397.9
POMP	NM_015932.6	ENST00000380842.5
SLC46A3	NM_181785.4	ENST00000266943.11
MTUS2	NM_001033602.4	ENST00000612955.6
SLC7A1	NM_003045.5	ENST00000380752.10
UBL3	NM_007106.4	ENST00000380680.5
KATNAL1	NM_032116.5	ENST00000380615.8
UBE2L5	NM_001355247.2	ENST00000635918.2
HMGB1	NM_002128.7	ENST00000341423.10
USPL1	NM_005800.5	ENST00000255304.9
ALOX5AP	NM_001629.4	ENST00000380490.5
MEDAG	NM_032849.4	ENST00000380482.9
TEX26	NM_152325.3	ENST00000380473.8
HSPH1	NM_006644.4	ENST00000320027.10
B3GLCT	NM_194318.4	ENST00000343307.5
RXFP2	NM_130806.5	ENST00000298386.7
FRY	NM_023037.3	ENST00000542859.6
ZAR1L	NM_001136571.2	ENST00000533490.7
BRCA2	NM_000059.4	ENST00000380152.8
N4BP2L1	NM_052818.3	ENST00000380130.7
N4BP2L2	NM_014887.3	ENST00000267068.6
PDS5B	NM_015032.4	ENST00000315596.15
KL	NM_004795.4	ENST00000380099.4
STARD13	NM_178006.4	ENST00000336934.10
RFC3	NM_002915.4	ENST00000380071.8
NBEA	NM_001385012.1	ENST00000379939.7
MAB21L1	NM_005584.5	ENST00000379919.6
DCLK1	NM_001330071.2	ENST00000360631.8
SOHLH2	NM_017826.3	ENST00000379881.8
CCDC169	NM_001144981.3	ENST00000239859.8
SPART	NM_015087.5	ENST00000438666.7
CCNA1	NM_001413923.1	ENST00000255465.8
SERTM1	NM_203451.3	ENST00000315190.4
RFXAP	NM_000538.4	ENST00000255476.3
SMAD9	NM_001127217.3	ENST00000379826.5
ALG5	NM_013338.5	ENST00000239891.4
EXOSC8	NM_181503.3	ENST00000389704.4
SUPT20H	NM_001014286.3	ENST00000350612.11
CSNK1A1L	NM_145203.6	ENST00000379800.4
POSTN	NM_006475.3	ENST00000379747.9
TRPC4	NM_016179.4	ENST00000379705.8
UFM1	NM_016617.4	ENST00000239878.9
FREM2	NM_207361.6	ENST00000280481.9
STOML3	NM_145286.3	ENST00000379631.9
PROSER1	NM_025138.5	ENST00000352251.8
NHLRC3	NM_001012754.4	ENST00000379600.8
LHFPL6	NM_005780.3	ENST00000379589.4
COG6	NM_020751.3	ENST00000455146.8
FOXO1	NM_002015.4	ENST00000379561.6
MRPS31	NM_005830.4	ENST00000323563.8
SLC25A15	NM_014252.4	ENST00000338625.9
ELF1	NM_172373.4	ENST00000239882.7
WBP4	NM_007187.5	ENST00000379487.5
KBTBD6	NM_152903.5	ENST00000379485.2
KBTBD7	NM_032138.7	ENST00000379483.4
MTRF1	NM_004294.4	ENST00000379480.9
NAA16	NM_024561.5	ENST00000379406.8
RGCC	NM_014059.3	ENST00000379359.4
VWA8	NM_015058.2	ENST00000379310.8
DGKH	NM_178009.5	ENST00000337343.9
AKAP11	NM_016248.4	ENST00000025301.4
TNFSF11	NM_003701.4	ENST00000398795.7
FAM216B	NM_001318932.2	ENST00000313851.3
EPSTI1	NM_033255.5	ENST00000313624.12
DNAJC15	NM_013238.3	ENST00000379221.4
ENOX1	NM_001347969.2	ENST00000690772.1
CCDC122	NM_144974.5	ENST00000444614.8
LACC1	NM_153218.4	ENST00000325686.7
SERP2	NM_001010897.3	ENST00000379179.8
TSC22D1	NM_183422.4	ENST00000458659.3
NUFIP1	NM_012345.3	ENST00000379161.5
GPALPP1	NM_018559.5	ENST00000379151.9
GTF2F2	NM_004128.3	ENST00000340473.8
KCTD4	NM_198404.3	ENST00000379108.2
TPT1	NM_003295.4	ENST00000530705.6
SLC25A30	NM_001010875.4	ENST00000519676.6
COG3	NM_031431.4	ENST00000349995.10
ERICH6B	NM_182542.3	ENST00000298738.3
CBY2	NM_152719.3	ENST00000310521.6
SIAH3	NM_198849.3	ENST00000400405.4
ZC3H13	NM_001330564.2	ENST00000679008.1
CPB2	NM_001872.5	ENST00000181383.10
LCP1	NM_002298.5	ENST00000323076.7
LRRC63	NM_001282460.2	ENST00000595396.3
RUBCNL	NM_025113.5	ENST00000429979.6
LRCH1	NM_001164211.2	ENST00000389797.8
ESD	NM_001984.2	ENST00000378720.8
HTR2A	NM_000621.5	ENST00000542664.4
SUCLA2	NM_003850.3	ENST00000646932.1
NUDT15	NM_018283.4	ENST00000258662.3
MED4	NM_014166.4	ENST00000258648.7
ITM2B	NM_021999.5	ENST00000647800.2
RB1	NM_000321.3	ENST00000267163.6
LPAR6	NM_001162498.3	ENST00000620633.5
RCBTB2	NM_001268.4	ENST00000344532.8
CYSLTR2	NM_001308476.3	ENST00000682523.1
FNDC3A	NM_001079673.2	ENST00000492622.6
MLNR	NM_001507.1	ENST00000218721.1
CDADC1	NM_030911.4	ENST00000251108.10
CAB39L	NM_001079670.3	ENST00000409308.6
SETDB2	NM_001160308.3	ENST00000611815.2
PHF11	NM_001040443.3	ENST00000378319.8
RCBTB1	NM_018191.4	ENST00000378302.7
ARL11	NM_138450.6	ENST00000282026.2
EBPL	NM_032565.5	ENST00000242827.11
KPNA3	NM_002267.4	ENST00000261667.8
SPRYD7	NM_020456.4	ENST00000361840.8
TRIM13	NM_213590.3	ENST00000378182.4
KCNRG	NM_173605.2	ENST00000312942.2
DLEU7	NM_001306135.2	ENST00000504404.2
RNASEH2B	NM_024570.4	ENST00000336617.8
C13orf42	NM_001351589.3	ENST00000563710.7
FAM124A	NM_001242312.2	ENST00000322475.13
INTS6	NM_012141.3	ENST00000311234.9
SERPINE3	NM_001386375.1	ENST00000681248.1
WDFY2	NM_052950.4	ENST00000298125.7
DHRS12	NM_001377533.1	ENST00000444610.8
TMEM272	NM_001351003.2	ENST00000629372.3
CCDC70	NM_031290.4	ENST00000242819.7
ATP7B	NM_000053.4	ENST00000242839.10
ALG11	NM_001004127.3	ENST00000521508.2
UTP14C	NM_021645.6	ENST00000521776.2
NEK5	NM_001365552.1	ENST00000684899.1
NEK3	NM_002498.3	ENST00000610828.5
THSD1	NM_018676.4	ENST00000258613.5
VPS36	NM_016075.4	ENST00000378060.9
CKAP2	NM_018204.5	ENST00000258607.10
HNRNPA1L2	NM_001389320.1	ENST00000357495.5
SUGT1	NM_006704.5	ENST00000310528.9
CNMD	NM_007015.3	ENST00000377962.8
PCDH8	NM_002590.4	ENST00000377942.7
OLFM4	NM_006418.5	ENST00000219022.3
PRR20A	NM_198441.2	ENST00000377931.1
PRR20B	NM_001130404.1	ENST00000377930.1
PRR20C	NM_001130405.1	ENST00000544357.2
PRR20D	NM_001130406.1	ENST00000452123.3
PRR20E	NM_001130407.1	ENST00000434815.1
PCDH17	NM_001040429.3	ENST00000377918.8
DIAPH3	NM_001042517.2	ENST00000400324.9
TDRD3	NM_001146070.2	ENST00000377881.8
PCDH20	NM_022843.4	ENST00000409204.5
LOC112267897	NM_001395920.1	ENST00000611641.1
LOC647264	NM_001370368.2	ENST00000648713.2
PCDH9	NM_203487.3	ENST00000377865.7
KLHL1	NM_020866.3	ENST00000377844.9
DACH1	NM_080759.6	ENST00000613252.5
MZT1	NM_001071775.3	ENST00000377818.4
BORA	NM_024808.5	ENST00000390667.11
DIS3	NM_014953.5	ENST00000377767.9
PIBF1	NM_006346.4	ENST00000326291.11
KLF5	NM_001730.5	ENST00000377687.6
KLF12	NM_001400136.1	ENST00000703967.1
TBC1D4	NM_014832.5	ENST00000377636.8
COMMD6	NM_203495.4	ENST00000682242.1
UCHL3	NM_006002.5	ENST00000377595.8
LMO7	NM_001306080.2	ENST00000377534.8
KCTD12	NM_138444.4	ENST00000377474.4
ACOD1	NM_001258406.2	ENST00000377462.6
CLN5	NM_006493.4	ENST00000377453.9
FBXL3	NM_012158.4	ENST00000355619.10
MYCBP2	NM_015057.5	ENST00000544440.7
LOC127898562	NM_001414702.1	ENST00000684204.1
SCEL	NM_144777.3	ENST00000349847.4
SLAIN1	NM_001242868.2	ENST00000418532.6
EDNRB	NM_001122659.3	ENST00000646607.2
POU4F1	NM_006237.4	ENST00000377208.7
OBI1	NM_024546.4	ENST00000282003.7
RBM26	NM_001366735.2	ENST00000438737.3
NDFIP2	NM_019080.3	ENST00000218652.12
SPRY2	NM_005842.4	ENST00000377104.4
SLITRK1	NM_001281503.2	ENST00000674365.1
SLITRK6	NM_032229.3	ENST00000647374.2
SLITRK5	NM_001384609.1	ENST00000683689.1
GPC5	NM_004466.6	ENST00000377067.9
GPC6	NM_005708.5	ENST00000377047.9
DCT	NM_001922.5	ENST00000377028.10
TGDS	NM_014305.4	ENST00000261296.7
GPR180	NM_180989.6	ENST00000376958.5
SOX21	NM_007084.4	ENST00000376945.4
ABCC4	NM_005845.5	ENST00000645237.2
CLDN10	NM_006984.5	ENST00000299339.3
DZIP1	NM_198968.4	ENST00000376829.7
DNAJC3	NM_006260.5	ENST00000602402.6
UGGT2	NM_020121.4	ENST00000376747.8
HS6ST3	NM_153456.4	ENST00000376705.4
OXGR1	NM_001346194.2	ENST00000541038.2
MBNL2	NM_001382683.1	ENST00000679496.1
RAP2A	NM_021033.7	ENST00000245304.5
IPO5	NM_002271.6	ENST00000651721.2
FARP1	NM_005766.4	ENST00000319562.11
RNF113B	NM_178861.5	ENST00000267291.7
STK24	NM_001032296.4	ENST00000539966.6
SLC15A1	NM_005073.4	ENST00000376503.10
DOCK9	NM_001366683.2	ENST00000682017.1
UBAC2	NM_001144072.2	ENST00000403766.8
GPR18	NM_001098200.2	ENST00000397470.5
GPR183	NM_004951.5	ENST00000376414.5
TM9SF2	NM_004800.3	ENST00000376387.5
CLYBL	NM_206808.5	ENST00000339105.9
ZIC5	NM_033132.5	ENST00000267294.5
ZIC2	NM_007129.5	ENST00000376335.8
PCCA	NM_000282.4	ENST00000376285.6
GGACT	NM_001195087.2	ENST00000683975.1
TMTC4	NM_032813.5	ENST00000342624.10
NALCN	NM_052867.4	ENST00000251127.11
ITGBL1	NM_004791.3	ENST00000376180.8
FGF14	NM_004115.4	ENST00000376143.5
TPP2	NM_001330588.2	ENST00000376052.5
METTL21C	NM_001010977.3	ENST00000267273.7
CCDC168	NM_001146197.3	ENST00000322527.4
TEX30	NM_138779.5	ENST00000376032.9
POGLUT2	NM_024089.3	ENST00000376004.5
BIVM	NM_017693.4	ENST00000257336.6
ERCC5	NM_000123.4	ENST00000652225.2
SLC10A2	NM_000452.3	ENST00000245312.5
DAOA	NM_172370.5	ENST00000375936.9
EFNB2	NM_004093.4	ENST00000646441.1
ARGLU1	NM_018011.4	ENST00000400198.8
NALF1	NM_001080396.3	ENST00000375915.4
LIG4	NM_206937.2	ENST00000442234.6
ABHD13	NM_032859.3	ENST00000375898.4
TNFSF13B	NM_006573.5	ENST00000375887.9
MYO16	NM_001198950.3	ENST00000457511.7
IRS2	NM_003749.3	ENST00000375856.5
COL4A1	NM_001845.6	ENST00000375820.10
COL4A2	NM_001846.4	ENST00000360467.7
RAB20	NM_017817.3	ENST00000267328.5
NAXD	NM_001242882.2	ENST00000680254.1
CARS2	NM_024537.4	ENST00000257347.9
ING1	NM_198219.3	ENST00000333219.9
ANKRD10	NM_017664.4	ENST00000267339.6
ARHGEF7	NM_001354046.2	ENST00000646102.2
TEX29	NM_152324.3	ENST00000283547.2
SOX1	NM_005986.3	ENST00000330949.3
SPACA7	NM_145248.5	ENST00000283550.8
TUBGCP3	NM_006322.6	ENST00000261965.8
ATP11A	NM_015205.3	ENST00000375645.8
MCF2L	NM_001112732.3	ENST00000535094.7
F7	NM_019616.4	ENST00000346342.8
F10	NM_000504.4	ENST00000375559.8
PROZ	NM_003891.3	ENST00000375547.7
PCID2	NM_001127202.4	ENST00000337344.9
CUL4A	NM_001008895.4	ENST00000375440.9
LAMP1	NM_005561.4	ENST00000332556.5
GRTP1	NM_024719.4	ENST00000375431.9
ADPRHL1	NM_001394807.1	ENST00000612156.3
DCUN1D2	NM_001014283.2	ENST00000478244.6
TMCO3	NM_017905.6	ENST00000434316.7
TFDP1	NM_007111.5	ENST00000375370.10
GRK1	NM_002929.3	ENST00000335678.7
ATP4B	NM_000705.4	ENST00000335288.5
TMEM255B	NM_182614.4	ENST00000375353.5
GAS6	NM_000820.4	ENST00000327773.7
C13orf46	NM_001365455.2	ENST00000636427.3
RASA3	NM_007368.4	ENST00000334062.8
CFAP97D2	NM_001395229.1	ENST00000636692.2
CDC16	NM_001078645.3	ENST00000356221.8
UPF3A	NM_023011.4	ENST00000375299.8
CHAMP1	NM_032436.4	ENST00000361283.4
OR11H12	NM_001013354.1	ENST00000550708.2
POTEM	NM_001145442.1	ENST00000547889.6
POTEG	NM_001005356.3	ENST00000547848.5
OR11H2	NM_001197287.2	ENST00000556246.3
OR4Q3	NM_001405963.1	ENST00000642117.2
OR4M1	NM_001005500.2	ENST00000641200.1
OR4N2	NM_001004723.3	ENST00000557677.3
OR4K2	NM_001005501.2	ENST00000641885.1
OR4K1	NM_001004063.3	ENST00000641172.1
OR4K5	NM_001005483.1	ENST00000315915.5
OR4K15	NM_001005486.2	ENST00000305051.6
OR4K14	NM_001004712.2	ENST00000641793.1
OR4K13	NM_001004714.2	ENST00000641904.1
